id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,ingresso,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,sinopse,data_sessao,datainicial,datafinal,tem,dispositivo,dias,online
72000000621607,45,6,atividade física,11,Atividade Física,72,Mogi Das Cruzes,capital,0,0,outros,,Hatha Yoga,Com Mônica Machado,de-ate,sempre,depois,sempre,7,10h,undefined,"O hatha Yoga, é uma forma de ioga medieval. A expressão Ha¿ha Yoga poderia ser traduzida, dividindo-se as sílabas, nas palavras ""ha"" e ""tha"", cujo significado é atribuído à busca do equilíbrio das forças solar e lunar, masculina e feminina como objetivo final dessa prática",2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-29 00:00:00,,,20,0
72000000567986,100,6,atividade física,11,Atividade Física,72,Mogi Das Cruzes,capital,0,0,outros,,Mini-torneio de basquete,Com Associação Nacional de Basquete 3x3,de-ate,sempre,depois,sempre,7,10h,undefined,"Nesse minitorneio, participantes poderão praticar e vivenciar uma mini-competição de basquete de modo amistoso, inclusivo e participativo.",2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-08 00:00:00,,,20,0
72000000624632,30,6,atividade física,11,Atividade Física,72,Mogi Das Cruzes,capital,1,0,outros,,Vôlei Sentado,Com educadore(a)s do Sesc,de-ate,sempre,depois,sempre,7,14h,undefined,"Nessa ação, participantes serão convidados a vivenciar a modalidade de vôlei sentado. Um das características principais é que a pessoa participante não pode bater na bola sem estar em contato com o solo.",2023-10-08 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00,,,20,0
58000006840798,45,6,atividade física,11,Atividade Física,58,Pinheiros,capital,1,0,outros,,Práticas Corporais,Com educadores Sesc,uma,thisM,depois,dom,6,10h30,undefined,Aula aberta de Práticas Corporais com educadores Sesc.   Encontro na praça para vivência de diversas metodologias das práticas corporais com estratégias para despertar e aquecer estimulando a percepção corporal e o auto cuidado.  Programação sujeita a alterações.,2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-08 00:00:00,,,20,0
77000314203636,30,6,atividade física,11,Atividade Física,77,S. J. Campos,interior,1,0,outros,Perceba-se,Práticas Somáticas,Com Maercio Maia,uma,sempre,depois,sempre,7,10h30,undefined,"A realidade somática apresentada como objetivo será construída a partir e através de saberes, técnicas e métodos consolidados no campo somático, além de dispositivos de imagética motora - o uso da imaginação para o movimento e o uso do movimento para a imaginação.",2023-10-08 00:00:00,2023-10-01 00:00:00,2023-10-29 00:00:00,,,20,0
53000006106359,20,6,atividade física,11,Atividade Física,53,Santana,capital,0,0,outros,,Biodanza: Dança da Vida,Com Ilson Barros,uma,sempre,depois,sempre,7,10h30,undefined,"A Biodanza é um sistema de integração humana, de renovação orgânica, de reeducação afetiva e de reaprendizagem das funções originárias de vida. Sua metodologia consiste em induzir vivências por meio da música, do canto e do movimento, em situações de encontro em grupo.   O facilitador Ilson Barros é habilitado pela International Biocentric Foundation.",2023-10-08 00:00:00,2023-10-01 00:00:00,2023-10-29 00:00:00,1,Open Caption,20,0
78000006637424,100,6,atividade física,11,Atividade Física,78,Santos,interior,0,0,outros,,Expressão e Ritmos,Aula aberta de expressão e ritmos,uma,sempre,depois,sempre,7,16h30,undefined,"Os movimentos corporais podem ser realizados, seguindo o ritmo marcado pela voz, pelo batimento das mãos ou pés, por instrumentos de percussão ou pela música. A cada domingo uma experimentação e um ritmo diferente. Com educadores do Sesc.",2023-10-08 00:00:00,2023-10-08 00:00:00,2023-12-17 00:00:00,,,20,0
62000008069312,120,6,atividade física,14,Outros,62,Consolação,capital,0,0,crianças,,Bike boat,,de-ate,sempre,depois,sempre,7,13h,undefined,"Vivência recreativa de bike boat, bicicletas aquáticas flutuantes para recreação e lazer na água.",2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-29 00:00:00,,,20,0
78000006691457,2000,6,atividade física,14,Outros,78,Santos,interior,0,0,jovens,Programa Sesc de Esportes,Festival Esporte Jovem Handebol/Vôlei,Esporte Jovem 10 a 13 anos,de-ate,sempre,depois,sempre,7,10h30,undefined,A competição tem caráter recreativo de integração das turmas de Esporte Jovem 10 a 13 anos com o objetivo de reproduzir a competição formal dentro dos princípios e valores do PSE e da instituição. Será utilizado o Modelo de Educação Esportiva para as ações construídas dentro do Festival.,2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-08 00:00:00,,,20,0
65000003462013,15,8,turismo,12,Turismo,65,Av. Paulista,capital,0,0,outros,"Uma Paulista, Diferentes Vistas","A Paisagem como fato social: Patrimônio, direito e memória",Com Debora Pinheiro e André Bispo,uma,thisM,depois,dom,6,10h,undefined,"Caminhada pela Avenida Paulista que propõe o uso do espaço urbano como território de educação ao patrimônio, memórias e direito à cidade, tratando sobre diversidade, representatividades existentes em São Paulo e suas contradições. Serão temas: a cultura do trabalho na Avenida, o bairro do Bixiga, as relações com a história das populações negras e indígenas, dentre outros.",2023-10-08 00:00:00,2023-10-08 00:00:00,2024-01-28 00:00:00,,,20,0
75000007778865,40,8,turismo,12,Turismo,75,Campinas,interior,0,0,outros,,Pantanal Caipira - Tanquã / Piracicaba (SP),,uma,thisM,depois,dom,6,07h,undefined,"O Tanquã é uma comunidade que está localizada no município de Piracicaba, interior do estado de São Paulo, e tem como atividade principal a pesca artesanal. Os moradores do Tanquã, isolados do centro do município, tem histórias de sobrevivência pelas crises econômicas enfrentadas e do preconceito que atingiu as águas do Rio Piracicaba. Conquistaram o conhecimento dessas águas com paciência e perse",2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-08 00:00:00,,,20,0
91000002210994,42,8,turismo,12,Turismo,91,Campo Limpo,capital,0,0,outros,Nossas trilhas e parques,Nossas trilhas e parques,Edição: Selva SP,primeira,thisM,depois,dom,6,07h30,undefined,"""Nossas Trilhas e Parques"" é uma proposta de aulas de corrida do Programa Sesc de Esportes que explora as paisagens naturais e os parques públicos do estado de São Paulo. Nessa experiência, os participantes são convidados a se aventurar pelas trilhas desafiadoras e encantadoras, enquanto desfrutam de um ambiente urbano revitalizante.",2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-08 00:00:00,,,20,0
83000004032539,40,8,turismo,12,Turismo,83,Piracicaba,interior,0,0,outros,,Museu da Imaginação - São Paulo/SP.,,uma,thisM,depois,dom,6,07h,undefined,s/i,2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-08 00:00:00,,,20,0
75000008025588,100,9,'+ lazer,14,Outros,75,Campinas,interior,0,0,outros,Passa na Praça,Ocupação Lúdica,Coletivo Máquina Tudo.,de-ate,sempre,depois,sempre,7,12h,undefined,"Vivência com jogos analógicos e digitais, criados pelo Coletivo Máquina Tudo: ""Batata Quente 2.0"", ""Corrida de LED's"", ""Jogos de Destreza"" e ""Bangboo - Jogo Caça Fantasmas"".",2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-08 00:00:00,,,20,0
75000007971646,20,9,'+ lazer,14,Outros,75,Campinas,interior,1,0,outros,Passa na Praça,Dr. Gepetostein e os brinquedos mutantes,Com Coletivo Unsquepensa Arte,de-ate,sempre,depois,sempre,7,11h,undefined,"Com coletivo Unsquepensa Arte. Brinquedos velhos e até mesmo quebrados serão modificados e ressignificados pelos participantes nesse ateliê. A proposta é a troca de partes de bonecas, carros e bichinhos para criação de seres e objetos além da imaginação.os participantes podem trazer peças de brinquedos quebrados para utilizar em suas criações ou doar para o ""banco de peças"" para uso coletivo.",2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-08 00:00:00,,,20,0
55000004686248,40,9,'+ lazer,14,Outros,55,Interlagos,capital,1,0,crianças,,Experimentação com elementos naturais,Mediação lúdica com o Coletivo Brincá,de-ate,sempre,depois,sempre,7,11h30,undefined,"Oficinas ligadas a ambientação, experimentação de texturas, sabores, utilizando a cada semana diferentes elementos, como sementes, brotos, folhas, flores, criação de massinhas com farinhas. A cada semana, uma atividade de exploração sensorial diferente.",2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-29 00:00:00,,,20,0
83000004112885,20,9,'+ lazer,14,Outros,83,Piracicaba,interior,1,0,crianças,Espaço lúdico,Dobradura Surpresa,"Ao abrir e fechar, crie frases e desafios.",de-ate,sempre,depois,sempre,7,14h,undefined,Vivência lúdica.,2023-10-08 00:00:00,2023-10-08 00:00:00,2023-10-08 00:00:00,,,20,0
66000017079809,15,9,'+ lazer,14,Outros,66,Vila Mariana,capital,0,0,crianças,Espaço de Brincar,No quintal secreto acontece...,exploração com terra e elementos naturais com as educadoras do Espaço de Brincar,de-ate,sempre,depois,sempre,7,13h30,undefined,"Um cantinho de terra do Sesc Vila Mariana vai ser aberto para que as crianças possam estar em contato e tecer criações com a terra, e brincar de cozinha com barro. Convidamos o público do Espaço de Brincar a ativar o quintal secreto. Com a equipe do Espaço de Brincar",2023-10-08 00:00:00,2023-10-01 00:00:00,2023-10-29 00:00:00,,,20,0
64000005046467,20,2,cursos e oficinas,10,Saúde,64,Carmo,capital,1,0,outros,,Tai Chi Pai Lin,Com Unidade de Medicinas Tradicionais (UMT) da Supervisão Técnica de Saúde - Sé,uma,nextM,depois,seg,0,09h,undefined,"Prática de meditação em movimento, que envolve respiração e concentração, com série de exercícios coordenados e suaves, colaborando para o autocuidado, autoconhecimento e equilíbrio corporal.",2023-10-09 00:00:00,2023-10-02 00:00:00,2023-10-30 00:00:00,,,21,0
89000001385502,50,2,cursos e oficinas,5,Cinema,89,CPF,capital,0,0,outros,Cursos e Palestras,Direção de Atores para Audiovisual,Com Giovanna Siqueira,primeira,nextM,depois,seg,0,15h,undefined,s/i,2023-10-09 00:00:00,2023-10-09 00:00:00,2023-11-13 00:00:00,1,Tradução em Libras,21,0
61000000866417,15,2,cursos e oficinas,6,Artes Visuais,61,Florêncio,capital,0,0,outros,Conexão SP-Amazônia,Estamparia - Tramados e sobreposições / grafismos e cestarias em Arumã,Com Mauricio Duarte,primeira,nextM,depois,seg,0,10h,undefined,"Criação de estampas manuais através de stencil inspirados no grafismos das tramas dos cestos indígenas dos povos de São Gabriel da Cachoeira - AM,pesquisa da ultima colecao do estilista apresentada na SPFW.",2023-10-09 00:00:00,2023-10-09 00:00:00,2023-10-09 00:00:00,,,21,0
89000001390583,50,2,cursos e oficinas,8,Educação,89,CPF,capital,0,0,outros,Cursos e Palestras,A encruzilhada e suas encruzas: possibilidades de manejos para mundo possíveis,,primeira,nextM,depois,seg,0,10h,undefined,s/i,2023-10-09 00:00:00,2023-10-09 00:00:00,2023-10-23 00:00:00,,,21,0
89000001408171,100,2,cursos e oficinas,8,Educação,89,CPF,capital,0,0,outros,Cursos e Palestras,"Raça, Política e Desigualdades no Brasil",,primeira,nextM,depois,seg,0,15h,undefined,s/i,2023-10-09 00:00:00,2023-10-09 00:00:00,2023-12-18 00:00:00,,,21,0
89000001377289,50,2,cursos e oficinas,8,Educação,89,CPF,capital,0,0,outros,Gestão do Esporte,Curso Sesc de Gestão do Esporte 2023/2024,Relatos de experiência,primeira,nextM,depois,seg,0,19h,undefined,s/i,2023-10-09 00:00:00,2023-10-09 00:00:00,2023-10-09 00:00:00,,,21,0
73000005067280,120,2,cursos e oficinas,8,Educação,73,Guarulhos,capital,0,0,outros,10ª Feira do Estudante de Guarulhos,Estamparia em Tecidos,com Coletivo Laranja Azul,uma,nextM,depois,seg,0,10h,undefined,"Normalmente em feiras do estudante, há a entrega de diferentes materiais gráficos. A ideia da oficina é levarmos as Ecobags para que os jovens possam customizar, por meio dos carimbos, mas deixar em aberto caso a pessoa queira estampar outro tipo de tecido.",2023-10-09 00:00:00,2023-10-09 00:00:00,2023-10-10 00:00:00,,,21,0
73000005138456,120,2,cursos e oficinas,8,Educação,73,Guarulhos,capital,0,0,outros,10ª Feira do Estudante de Guarulhos,Oficina de Encadernação,com Coletivo Laranja Azul,uma,nextM,depois,seg,0,14h,undefined,s/i,2023-10-09 00:00:00,2023-10-09 00:00:00,2023-10-10 00:00:00,,,21,0
73000005083847,120,2,cursos e oficinas,8,Educação,73,Guarulhos,capital,0,0,outros,10ª Feira do Estudante de Guarulhos,Oficina de Stencil,com Anderson Novais (MagooILEGAL),uma,nextM,depois,seg,0,18h,undefined,s/i,2023-10-09 00:00:00,2023-10-09 00:00:00,2023-10-10 00:00:00,,,21,0
73000005094793,150,3,debates e paletras,8,Educação,73,Guarulhos,capital,0,0,outros,10ª Feira do Estudante de Guarulhos,Empreendedorismo e internet: novas possibilidades para a juventude,Papo Reto com Andreza Delgado e Mateus Fernandes,uma,nextM,depois,seg,0,15h,undefined,"Neste painel, com a presença de Andreza Delgado, co-criadora da PerifaCon, e Mateus Fernandes, fundador da Roda Periférica, o objetivo é explorar as amplas oportunidades de se tornar um jovem empreendedor, com foco na economia criativa.",2023-10-09 00:00:00,2023-10-09 00:00:00,2023-10-09 00:00:00,,,21,0
75000008237315,90,1,shows e espetáculos,1,Música,75,Campinas,interior,1,0,outros,Passa na Praça,Apresentação dos alunos do Canto Coral TSI,Regência de Jairo Silveira,uma,nextM,depois,ter,1,12h,undefined,"Regência de Jairo Silveira. Para o encerramento das atividades trimestrais, os alunos do Canto Coral do Trabalho Social com Idosos, apresentam ao público os repertórios estudado  ao longo dos meses.",2023-10-10 00:00:00,2023-10-10 00:00:00,2023-10-10 00:00:00,,,22,0
78000006742615,765,1,shows e espetáculos,1,Música,78,Santos,interior,0,0,outros,,Elba Ramalho,,uma,nextM,depois,ter,1,20h,undefined,"Filha do sertão nordestino, dona de um timbre inconfundível e de uma energia eletrizante, Elba relembra músicas de Gonzagão, Dominguinhos e outros clássicos, além seus últimos sucessos.",2023-10-10 00:00:00,2023-10-10 00:00:00,2023-10-11 00:00:00,,,22,0
