id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,ingresso,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,data_sessao,datainicial,datafinal,tem,dispositivo,online,turno
49000000008147,25,6,atividade física,11,Atividade Física,49,14 Bis,capital,0,0,outros,,PSE - Aula aberta de Jogos de Lutas,com educadores físico - esportivos da unidade,uma,nextW,proxima,sex,4,19h,undefined,2023-10-06 00:00:00,2023-10-06 00:00:00,2023-11-28 00:00:00,,,0,noite
49000000008728,140,9,'+ lazer,14,'+ lazer,49,14 Bis,capital,1,0,crianças,,Estampando Saberes - Adinkras,Com Manifesto Crespo,de-ate,sempre,proxima,sempre,7,10h,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00,,,0,manhã
49000000008728,140,9,'+ lazer,14,'+ lazer,49,14 Bis,capital,1,0,crianças,,Estampando Saberes - Adinkras,Com Manifesto Crespo,uma,nextW,proxima,dom,6,10h,undefined,2023-10-08 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00,,,0,manhã
49000000008728,140,9,'+ lazer,14,'+ lazer,49,14 Bis,capital,1,0,crianças,,Estampando Saberes - Adinkras,Com Manifesto Crespo,uma,nextW,proxima,sáb,5,10h,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00,,,0,manhã
49000000009704,100,2,cursos e oficinas,9,Meio Ambiente,49,14 Bis,capital,1,0,outros,,Experiências multissensoriais com elementos naturais,Com equipe de educadores do Instituto Árvores Vivas,uma,nextW,proxima,dom,6,10h,undefined,2023-10-08 00:00:00,2023-10-07 00:00:00,2023-10-15 00:00:00,,,0,manhã
49000000009704,100,2,cursos e oficinas,9,Meio Ambiente,49,14 Bis,capital,1,0,outros,,Experiências multissensoriais com elementos naturais,Com equipe de educadores do Instituto Árvores Vivas,uma,nextW,proxima,sáb,5,10h,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-15 00:00:00,,,0,manhã
49000000012979,30,9,'+ lazer,14,'+ lazer,49,14 Bis,capital,0,0,crianças,,Ninho Cantante: um colo para sonhar,Camila de Sá Arte e Cultura,de-ate,sempre,proxima,sempre,7,10h,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-26 00:00:00,,,0,manhã
49000000012979,30,9,'+ lazer,14,'+ lazer,49,14 Bis,capital,0,0,crianças,,Ninho Cantante: um colo para sonhar,Camila de Sá Arte e Cultura,uma,nextW,proxima,dom,6,14h,undefined,2023-10-08 00:00:00,2023-10-07 00:00:00,2023-10-26 00:00:00,,,0,tarde
49000000012979,30,9,'+ lazer,14,'+ lazer,49,14 Bis,capital,0,0,crianças,,Ninho Cantante: um colo para sonhar,Camila de Sá Arte e Cultura,uma,nextW,proxima,sáb,5,10h,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-26 00:00:00,,,0,manhã
49000000015120,50,7,serviços,16,Biblioteca,49,14 Bis,capital,1,0,outros,,Empréstimo,,de-ate,sempre,proxima,sempre,7,10h,undefined,2023-10-07 00:00:00,2023-10-06 00:00:00,2023-12-30 00:00:00,,,0,consulte
52000004873232,40,9,'+ lazer,14,'+ lazer,52,24 De Maio,capital,0,0,crianças,Espaço de Brincar,Espaço de Brincar,com educadores do espaço,de-ate,sempre,agora,sempre,7,10h30,undefined,2023-09-28 00:00:00,2023-01-04 00:00:00,2023-12-31 00:00:00,,,0,manhã
52000004873232,40,9,'+ lazer,14,'+ lazer,52,24 De Maio,capital,0,0,crianças,Espaço de Brincar,Espaço de Brincar,com educadores do espaço,de-ate,sempre,proxima,sempre,7,10h30,undefined,2023-10-03 00:00:00,2023-01-04 00:00:00,2023-12-31 00:00:00,,,0,manhã
52000004952602,50,6,atividade física,14,'+ lazer,52,24 De Maio,capital,0,0,outros,,Recreação de Voleibol,Com educadores de atividades fisicoesportivas,de-ate,sempre,agora,sempre,7,09h30,undefined,2023-09-30 00:00:00,2023-01-07 00:00:00,2023-12-17 00:00:00,,,0,manhã
52000004952602,50,6,atividade física,14,'+ lazer,52,24 De Maio,capital,0,0,outros,,Recreação de Voleibol,Com educadores de atividades fisicoesportivas,de-ate,sempre,proxima,sempre,7,09h30,undefined,2023-10-07 00:00:00,2023-01-07 00:00:00,2023-12-17 00:00:00,,,0,manhã
52000004964301,10,7,serviços,17,Odontologia,52,24 De Maio,capital,0,0,outros,,Clínica Ambulatorial,,de-ate,sempre,agora,sempre,7,07h,undefined,2023-09-28 00:00:00,2023-01-01 00:00:00,2023-12-30 00:00:00,,,0,consulte
